run_id,arch,level,mode,seed,lr,best_val_acc,train_time_s,epochs_ran,top1_page,top5_page,macro_f1_page,map_line,top1_retrieval,n_params,throughput_img_s,gpu_name,torch_version,timm_version
resnet50_L1_scratch_s0,resnet50,1,scratch,0,0.0003,0.12580645161290321,559.5858452320099,32,0.17532467532467533,0.4090909090909091,0.1130938554283502,0.12587849596282144,0.1650602409638554,24139124,169.8532318103663,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
convnext_tiny_L1_scratch_s0,convnext_tiny,1,scratch,0,0.0003,0.0064516129032258064,186.32960891723633,10,0.0,0.016233766233766232,0.0,0.0127184235836265,0.014056224899598393,28056980,178.8509124108029,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
efficientnetv2_s_L1_scratch_s0,efficientnetv2_s,1,scratch,0,0.0003,0.2870967741935484,1081.0751905441284,58,0.44805194805194803,0.75,0.37094928880643163,0.127853209454338,0.1927710843373494,20572036,164.05928361922128,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
vit_small_L1_scratch_s0,vit_small,1,scratch,0,0.0003,0.11935483870967742,1042.748808145523,58,0.17207792207792208,0.44155844155844154,0.1126300335359569,0.07592454234622124,0.08995983935742972,21784244,168.35635791422226,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_scratch_s0,swin_tiny,1,scratch,0,0.0003,0.0064516129032258064,169.4783318042755,9,0.003246753246753247,0.01948051948051948,2.1014584121380238e-05,0.01397531519549697,0.010441767068273093,27756206,167.94910686222585,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
resnet50_L2_scratch_s0,resnet50,2,scratch,0,0.0003,0.11743119266055047,693.4986093044281,21,0.12987012987012986,0.38311688311688313,0.08145930667077284,0.1271075589209148,0.15863453815261044,24139124,161.0217033894013,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
convnext_tiny_L2_scratch_s0,convnext_tiny,2,scratch,0,0.0003,0.005504587155963303,457.57817792892456,14,0.003246753246753247,0.016233766233766232,2.1014584121380238e-05,0.017295822984840552,0.015261044176706828,28056980,170.8718802144221,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
efficientnetv2_s_L2_scratch_s0,efficientnetv2_s,2,scratch,0,0.0003,0.3724770642201835,1240.5335807800293,38,0.5811688311688312,0.8603896103896104,0.5076015254586682,0.1834157884270764,0.25662650602409637,20572036,167.74413797123273,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
vit_small_L2_scratch_s0,vit_small,2,scratch,0,0.0003,0.13394495412844037,1324.0135052204132,38,0.1396103896103896,0.38636363636363635,0.07949034579759119,0.06772954458443581,0.07269076305220884,21784244,160.2874370616373,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L2_scratch_s0,swin_tiny,2,scratch,0,0.0003,0.012844036697247707,689.2489433288574,18,0.00974025974025974,0.04220779220779221,0.00032121029892479686,0.011822186642069068,0.008433734939759036,27756206,149.1176902584249,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
resnet50_L3_scratch_s0,resnet50,3,scratch,0,0.0003,0.10718954248366012,816.8674499988556,15,0.1590909090909091,0.4155844155844156,0.08980463164286692,0.10880525942687654,0.13614457831325302,24139124,151.52441265161647,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
convnext_tiny_L3_scratch_s0,convnext_tiny,3,scratch,0,0.0003,0.006535947712418301,500.654584646225,9,0.003246753246753247,0.016233766233766232,2.186365822729459e-05,0.012428364007154876,0.011646586345381526,28056980,147.15549543046984,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
efficientnetv2_s_L3_scratch_s0,efficientnetv2_s,3,scratch,0,0.0003,0.4444444444444444,1976.569445848465,36,0.7662337662337663,0.922077922077922,0.7106060606060607,0.23820839887102208,0.3325301204819277,20572036,151.26711034591747,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
vit_small_L3_scratch_s0,vit_small,3,scratch,0,0.0003,0.3411764705882353,4757.421578168869,86,0.6298701298701299,0.8831168831168831,0.549196042053185,0.1408815966887562,0.20401606425702812,21784244,148.24382158489448,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L3_scratch_s0,swin_tiny,3,scratch,0,0.0003,0.013071895424836602,1043.3699054718018,18,0.00974025974025974,0.03896103896103896,0.0017933826423131235,0.010600993874523587,0.006024096385542169,27756206,137.27743450004067,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
resnet50_L4_scratch_s0,resnet50,4,scratch,0,0.0003,0.3787878787878788,2197.6026768684387,28,0.538961038961039,0.8376623376623377,0.4455241187384044,0.24378997693550752,0.3429718875502008,24139124,146.7679313813325,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
convnext_tiny_L4_scratch_s0,convnext_tiny,4,scratch,0,0.0003,0.004734848484848485,737.0300607681274,10,0.003246753246753247,0.016233766233766232,2.1014584121380238e-05,0.013417457192765598,0.015261044176706828,28056980,134.99553649935987,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
efficientnetv2_s_L4_scratch_s0,efficientnetv2_s,4,scratch,0,0.0003,0.5482954545454546,3830.9198610782623,49,0.8896103896103896,0.9642857142857143,0.8555194805194806,0.27562840203854205,0.4,20572036,146.22251522619027,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
vit_small_L4_scratch_s0,vit_small,4,scratch,0,0.0003,0.39109848484848486,6272.224429607391,81,0.7077922077922078,0.8928571428571429,0.6377241805813234,0.16564778696049634,0.22971887550200804,21784244,145.64610449948086,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L4_scratch_s0,swin_tiny,4,scratch,0,0.0003,0.010416666666666666,1841.824912071228,25,0.006493506493506494,0.032467532467532464,0.00033274179236912155,0.00948815482541907,0.004417670682730923,27756206,147.61315229100575,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
