run_id,arch,level,mode,seed,lr,best_val_acc,train_time_s,epochs_ran,top1_page,top5_page,macro_f1_page,map_line,top1_retrieval,n_params,throughput_img_s,gpu_name,torch_version,timm_version
resnet50_L1_pretrained_s0,resnet50,1,pretrained,0,0.0003,0.46774193548387094,569.1291687488556,32,0.6688311688311688,0.8733766233766234,0.6028138528138528,0.22535317880965472,0.3285140562248996,24139124,171.3821593099591,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
convnext_tiny_L1_pretrained_s0,convnext_tiny,1,pretrained,0,0.0001,0.535483870967742,742.3773074150085,40,0.7922077922077922,0.9253246753246753,0.7388528138528139,0.2623234200943148,0.37670682730923694,28056980,160.83235869484687,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
efficientnetv2_s_L1_pretrained_s0,efficientnetv2_s,1,pretrained,0,0.0003,0.5258064516129032,555.0230605602264,29,0.7402597402597403,0.9025974025974026,0.680952380952381,0.21999100033375155,0.3172690763052209,20572036,181.88778587830805,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
vit_small_L1_pretrained_s0,vit_small,1,pretrained,0,0.0003,0.5612903225806452,667.0188782215118,37,0.8051948051948052,0.9253246753246753,0.7502164502164502,0.25562590432760646,0.3742971887550201,21784244,166.3154795271914,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_pretrained_s0,swin_tiny,1,pretrained,0,0.0003,0.5935483870967742,748.5847461223602,40,0.8051948051948052,0.9123376623376623,0.7527056277056277,0.2871625538146849,0.40602409638554215,27756206,166.28779103162253,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
resnet50_L2_pretrained_s0,resnet50,2,pretrained,0,0.0003,0.6293577981651376,1343.528408050537,40,0.8896103896103896,0.9675324675324676,0.8587662337662337,0.2947386384471242,0.40080321285140563,24139124,177.3904195808757,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
convnext_tiny_L2_pretrained_s0,convnext_tiny,2,pretrained,0,0.0001,0.6807339449541284,1195.4559576511383,36,0.9383116883116883,0.974025974025974,0.9188311688311688,0.38775853264236076,0.5240963855421686,28056980,157.02173796882536,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
efficientnetv2_s_L2_pretrained_s0,efficientnetv2_s,2,pretrained,0,0.0003,0.6422018348623854,1503.9776377677917,40,0.9188311688311688,0.9805194805194806,0.8955627705627707,0.359872583012811,0.4947791164658635,20572036,155.69265587971753,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
vit_small_L2_pretrained_s0,vit_small,2,pretrained,0,0.0003,0.6605504587155964,1320.2768001556396,35,0.9253246753246753,0.9837662337662337,0.9025974025974026,0.3521906322029074,0.4827309236947791,21784244,144.91197976169664,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L2_pretrained_s0,swin_tiny,2,pretrained,0,0.0003,0.726605504587156,1511.5665254592896,40,0.935064935064935,0.9805194805194806,0.9145021645021646,0.4103615239073557,0.553012048192771,27756206,151.04326110140784,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
resnet50_L3_pretrained_s0,resnet50,3,pretrained,0,0.0003,0.6483660130718955,1441.6470956802368,26,0.9090909090909091,0.9772727272727273,0.8793290043290043,0.3307401813890187,0.4526104417670683,24139124,146.3665555920684,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
convnext_tiny_L3_pretrained_s0,convnext_tiny,3,pretrained,0,0.0001,0.7529411764705882,1667.3460626602173,30,0.9512987012987013,0.9772727272727273,0.935064935064935,0.44655690487030303,0.5959839357429719,28056980,128.9390140614879,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
efficientnetv2_s_L3_pretrained_s0,efficientnetv2_s,3,pretrained,0,0.0003,0.7411764705882353,2227.139335870743,40,0.961038961038961,0.987012987012987,0.9491341991341993,0.4496438136967027,0.5939759036144578,20572036,148.81500286706162,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
vit_small_L3_pretrained_s0,vit_small,3,pretrained,0,0.0003,0.7320261437908496,2348.632842063904,40,0.9448051948051948,0.9837662337662337,0.9285714285714286,0.43042035498877806,0.5835341365461847,21784244,107.45694243999483,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L3_pretrained_s0,swin_tiny,3,pretrained,0,0.0003,0.7594771241830065,1877.2135570049286,33,0.9577922077922078,0.987012987012987,0.9448051948051948,0.4367796751851977,0.5891566265060241,27756206,148.95114761711068,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
resnet50_L4_pretrained_s0,resnet50,4,pretrained,0,0.0003,0.7348484848484849,3080.775007247925,40,0.9415584415584416,0.9837662337662337,0.922077922077922,0.37526903927629246,0.5024096385542168,24139124,148.66453322774606,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
convnext_tiny_L4_pretrained_s0,convnext_tiny,4,pretrained,0,0.0001,0.8068181818181818,3058.7174611091614,40,0.9675324675324676,0.9935064935064936,0.9567099567099566,0.5087305640832022,0.6630522088353413,28056980,126.75992884812821,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
efficientnetv2_s_L4_pretrained_s0,efficientnetv2_s,4,pretrained,0,0.0003,0.771780303030303,3143.774682998657,40,0.9675324675324676,0.9902597402597403,0.9572510822510824,0.5068327766385182,0.6626506024096386,20572036,127.99417854037533,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
vit_small_L4_pretrained_s0,vit_small,4,pretrained,0,0.0003,0.7509469696969697,3015.515678167343,40,0.9707792207792207,0.9902597402597403,0.961038961038961,0.4741569310365763,0.6353413654618474,21784244,161.70329631536697,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L4_pretrained_s0,swin_tiny,4,pretrained,0,0.0003,0.7916666666666666,2843.2039263248444,40,0.974025974025974,0.9902597402597403,0.9653679653679653,0.4971168891924889,0.6510040160642571,27756206,156.24613488251308,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
resnet50_L1_pretrained_s1,resnet50,1,pretrained,1,0.0003,0.49514563106796117,788.3265142440796,40,0.672077922077922,0.8961038961038961,0.6014687693259122,0.2120984858667834,0.30160642570281126,24139124,161.6785537472959,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
convnext_tiny_L1_pretrained_s1,convnext_tiny,1,pretrained,1,0.0001,0.598705501618123,597.6086685657501,30,0.7694805194805194,0.9188311688311688,0.7179189857761286,0.2627871833344264,0.38112449799196785,28056980,143.43264872433417,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
efficientnetv2_s_L1_pretrained_s1,efficientnetv2_s,1,pretrained,1,0.0003,0.47249190938511326,561.0317640304565,28,0.7402597402597403,0.8928571428571429,0.6772727272727272,0.21780276407856777,0.3228915662650602,20572036,160.46145861469122,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
vit_small_L1_pretrained_s1,vit_small,1,pretrained,1,0.0003,0.5631067961165048,609.1962027549744,32,0.7564935064935064,0.9025974025974026,0.6951298701298702,0.24972278374075113,0.3562248995983936,21784244,170.50132332666973,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_pretrained_s1,swin_tiny,1,pretrained,1,0.0003,0.6181229773462783,720.5699141025543,38,0.8051948051948052,0.922077922077922,0.754004329004329,0.283464578890139,0.40240963855421685,27756206,172.26863993702418,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
