run_id,arch,level,mode,seed,best_val_acc,train_time_s,epochs_ran,top1_page,top5_page,macro_f1_page,map_line,top1_retrieval,n_params,throughput_img_s
resnet50_L1_pretrained_s0,resnet50,1,pretrained,0,0.4516129032258064,337.32628178596497,40,0.7077922077922078,0.8831168831168831,0.6479437229437229,0.2220282053216655,0.3188755020080321,24139124,24.002188089213316
resnet50_L1_scratch_s0,resnet50,1,scratch,0,0.0483870967741935,178.38605070114136,21,0.0649350649350649,0.2045454545454545,0.0285853725294719,0.0911942484884737,0.1204819277108433,24139124,22.14757373202096
convnext_tiny_L1_scratch_s0,convnext_tiny,1,scratch,0,0.0064516129032258,84.18179535865784,9,0.0032467532467532,0.0162337662337662,2.101458412138024e-05,0.011968293230345,0.008433734939759,28056980,26.32450349128797
efficientnetv2_s_L1_pretrained_s0,efficientnetv2_s,1,pretrained,0,0.5,287.9463560581207,27,0.7045454545454546,0.8701298701298701,0.6409090909090909,0.2192934796297309,0.3220883534136546,20572036,28.35023104852445
efficientnetv2_s_L1_scratch_s0,efficientnetv2_s,1,scratch,0,0.2903225806451613,561.7611908912659,54,0.422077922077922,0.6818181818181818,0.344011544011544,0.1298261893963651,0.1730923694779116,20572036,26.240755229206588
vit_small_L1_pretrained_s0,vit_small,1,pretrained,0,0.4967741935483871,312.37107253074646,40,0.6948051948051948,0.8961038961038961,0.6294372294372294,0.2386182579636627,0.3301204819277108,21784244,27.45130040421697
vit_small_L1_scratch_s0,vit_small,1,scratch,0,0.0225806451612903,178.5340542793274,23,0.0097402597402597,0.0519480519480519,0.00074235288521,0.0182138405175331,0.0156626506024096,21784244,25.96388532785928
swin_tiny_L1_pretrained_s0,swin_tiny,1,pretrained,0,0.6,456.7038426399231,40,0.8246753246753247,0.922077922077922,0.7805194805194804,0.3011791120413855,0.4285140562248996,27756206,25.869053781137477
swin_tiny_L1_scratch_s0,swin_tiny,1,scratch,0,0.0096774193548387,158.53193974494934,14,0.0032467532467532,0.0194805194805194,2.101458412138024e-05,0.0126661956276445,0.0120481927710843,27756206,23.955011369895853
resnet50_L2_pretrained_s0,resnet50,2,pretrained,0,0.6146788990825688,555.6077320575714,38,0.9025974025974026,0.974025974025974,0.8744588744588744,0.2993337275642971,0.4140562248995983,24139124,27.617065195693872
resnet50_L2_scratch_s0,resnet50,2,scratch,0,0.1614678899082569,395.0195686817169,27,0.2435064935064935,0.5097402597402597,0.1746273747897124,0.138488355353234,0.1883534136546184,24139124,27.78561545934881
convnext_tiny_L2_scratch_s0,convnext_tiny,2,scratch,0,0.0055045871559633,144.36860990524292,9,0.0032467532467532,0.0162337662337662,2.101458412138024e-05,0.0138763228445731,0.0132530120481927,28056980,25.304092941653064
efficientnetv2_s_L2_pretrained_s0,efficientnetv2_s,2,pretrained,0,0.6568807339449542,536.755227804184,30,0.922077922077922,0.961038961038961,0.899025974025974,0.3621141852494375,0.506425702811245,20572036,26.863663113307062
efficientnetv2_s_L2_scratch_s0,efficientnetv2_s,2,scratch,0,0.4055045871559633,872.4284932613373,49,0.7857142857142857,0.9123376623376624,0.729112554112554,0.2020729083646665,0.2939759036144578,20572036,27.22968214188554
vit_small_L2_pretrained_s0,vit_small,2,pretrained,0,0.6311926605504588,495.04808950424194,40,0.9123376623376624,0.9837662337662336,0.8841991341991343,0.3505668979323015,0.4899598393574297,21784244,27.83024401596031
vit_small_L2_scratch_s0,vit_small,2,scratch,0,0.1412844036697247,569.668206691742,46,0.1883116883116883,0.5064935064935064,0.1154098844119349,0.0718697343258746,0.0911646586345381,21784244,26.16455265242653
swin_tiny_L2_pretrained_s0,swin_tiny,2,pretrained,0,0.728440366972477,779.46422123909,40,0.9383116883116884,0.974025974025974,0.9209956709956708,0.3668550079852925,0.5176706827309236,27756206,25.54585409767353
swin_tiny_L2_scratch_s0,swin_tiny,2,scratch,0,0.291743119266055,1596.537787437439,82,0.5616883116883117,0.8344155844155844,0.4754947433518861,0.1142781919686613,0.1530120481927711,27756206,25.733170337305094
resnet50_L3_pretrained_s0,resnet50,3,pretrained,0,0.6679738562091503,820.6713199615479,40,0.9318181818181818,0.9805194805194806,0.9096320346320348,0.3260831024469902,0.4514056224899598,24139124,28.008795205473174
resnet50_L3_scratch_s0,resnet50,3,scratch,0,0.5542483660130719,1170.086696624756,57,0.8603896103896104,0.9642857142857144,0.8246753246753247,0.278323200837983,0.395582329317269,24139124,24.16273859115504
convnext_tiny_L3_scratch_s0,convnext_tiny,3,scratch,0,0.0052287581699346,249.90293526649475,11,0.0032467532467532,0.0162337662337662,2.101458412138024e-05,0.0150016631964907,0.014859437751004,28056980,25.74792159548476
efficientnetv2_s_L3_pretrained_s0,efficientnetv2_s,3,pretrained,0,0.7294117647058823,1013.0798201560974,40,0.961038961038961,0.987012987012987,0.9485930735930734,0.4384742182236862,0.5759036144578313,20572036,27.33080436092556
efficientnetv2_s_L3_scratch_s0,efficientnetv2_s,3,scratch,0,0.5228758169934641,1313.974897623062,52,0.8344155844155844,0.9577922077922078,0.7905844155844156,0.250846028299554,0.359437751004016,20572036,25.880675253718262
vit_small_L3_pretrained_s0,vit_small,3,pretrained,0,0.7019607843137254,682.5648484230042,40,0.9318181818181818,0.9837662337662336,0.9090909090909092,0.3947146806553199,0.5437751004016064,21784244,26.896060466988438
vit_small_L3_scratch_s0,vit_small,3,scratch,0,0.2928104575163399,1501.14839053154,88,0.5974025974025974,0.8571428571428571,0.5253246753246754,0.1171017517747723,0.1538152610441767,21784244,27.5536421485204
swin_tiny_L3_pretrained_s0,swin_tiny,3,pretrained,0,0.734640522875817,1111.979930639267,40,0.9577922077922078,0.9837662337662336,0.9448051948051948,0.4018634946906995,0.5441767068273092,27756206,26.74650000009988
swin_tiny_L3_scratch_s0,swin_tiny,3,scratch,0,0.0117647058823529,414.74055671691895,15,0.0064935064935064,0.0422077922077922,0.0001730444243813,0.0117600733741973,0.0080321285140562,27756206,25.632147497677877
resnet50_L4_pretrained_s0,resnet50,4,pretrained,0,0.7111742424242424,918.0398981571198,35,0.935064935064935,0.9805194805194806,0.916125541125541,0.3688195900311053,0.5024096385542168,24139124,28.357221715556832
resnet50_L4_scratch_s0,resnet50,4,scratch,0,0.3172348484848485,709.5335042476654,27,0.487012987012987,0.7954545454545454,0.3928757866783077,0.2291459054950231,0.3160642570281124,24139124,27.629073765893413
convnext_tiny_L4_scratch_s0,convnext_tiny,4,scratch,0,0.4403409090909091,2921.125688314438,100,0.8181818181818182,0.9448051948051948,0.7713203463203463,0.1484517617760981,0.2261044176706827,28056980,27.119770460513536
efficientnetv2_s_L4_pretrained_s0,efficientnetv2_s,4,pretrained,0,0.7821969696969697,1302.338145017624,40,0.9772727272727272,0.9902597402597404,0.9696969696969696,0.4975164635325231,0.6469879518072289,20572036,25.39472995408188
efficientnetv2_s_L4_scratch_s0,efficientnetv2_s,4,scratch,0,0.5852272727272727,2407.4212114810944,74,0.9123376623376624,0.974025974025974,0.887987012987013,0.3047047312652686,0.4329317269076305,20572036,25.608643040059512
vit_small_L4_pretrained_s0,vit_small,4,pretrained,0,0.7149621212121212,869.010867357254,40,0.974025974025974,0.9902597402597404,0.9653679653679652,0.4137633582361751,0.572289156626506,21784244,27.24396922298888
vit_small_L4_scratch_s0,vit_small,4,scratch,0,0.4573863636363636,2298.147824048996,106,0.7792207792207793,0.8961038961038961,0.7246753246753246,0.1867084677917605,0.2718875502008032,21784244,27.578158051905188
swin_tiny_L4_scratch_s0,swin_tiny,4,scratch,0,0.0142045454545454,501.37798166275024,14,0.0194805194805194,0.0551948051948051,0.0014362736970226,0.0148222357237237,0.0108433734939759,27756206,23.12742364849612
resnet50_Lfull_pretrained_s0,resnet50,full,pretrained,0,0.738615664845173,1094.7602014541626,40,0.9512987012987012,0.987012987012987,0.935064935064935,0.3733762272927348,0.5052208835341365,24139124,28.01884986942287
resnet50_Lfull_scratch_s0,resnet50,full,scratch,0,0.4398907103825136,900.5749795436859,33,0.6298701298701299,0.8863636363636364,0.551430117501546,0.2700554730378195,0.3783132530120482,24139124,25.16530165323267
convnext_tiny_Lfull_scratch_s0,convnext_tiny,full,scratch,0,0.006375227686703,544.6836266517639,18,0.0032467532467532,0.0162337662337662,2.239140170174653e-05,0.015015279970617,0.0108433734939759,28056980,25.812445731341377
efficientnetv2_s_Lfull_pretrained_s0,efficientnetv2_s,full,pretrained,0,0.7959927140255009,1322.7278332710266,39,0.9805194805194806,0.9902597402597404,0.974025974025974,0.4920492052605671,0.6401606425702812,20572036,26.29659547441156
efficientnetv2_s_Lfull_scratch_s0,efficientnetv2_s,full,scratch,0,0.6074681238615665,1799.9913125038147,53,0.9025974025974026,0.9837662337662336,0.8741341991341992,0.2928536096448697,0.4172690763052208,20572036,27.413351554624654
vit_small_Lfull_pretrained_s0,vit_small,full,pretrained,0,0.7540983606557377,903.0752472877502,40,0.961038961038961,0.9902597402597404,0.9485930735930734,0.4345921913586204,0.5927710843373494,21784244,26.29528307630192
vit_small_Lfull_scratch_s0,vit_small,full,scratch,0,0.4098360655737705,2142.247205257416,95,0.7272727272727273,0.9123376623376624,0.6568800247371676,0.1623867271859986,0.2385542168674699,21784244,27.72798141982412
swin_tiny_Lfull_pretrained_s0,swin_tiny,full,pretrained,0,0.7859744990892532,1496.090267419815,40,0.9772727272727272,0.987012987012987,0.9696969696969696,0.4231532822084075,0.5718875502008032,27756206,25.526786477596552
swin_tiny_Lfull_scratch_s0,swin_tiny,full,scratch,0,0.0145719489981785,559.2424249649048,15,0.0129870129870129,0.0551948051948051,0.0036502159127055,0.0129522770892374,0.0088353413654618,27756206,25.57211981674635
resnet50_L1_pretrained_s1,resnet50,1,pretrained,1,0.459546925566343,289.14551305770874,31,0.6915584415584416,0.8863636363636364,0.6180735930735931,0.2044434969087609,0.2903614457831325,24139124,27.28661500277254
resnet50_L1_scratch_s1,resnet50,1,scratch,1,0.0970873786407767,185.43521523475647,20,0.1103896103896103,0.3246753246753247,0.0542152292152292,0.0860504249120803,0.1072289156626506,24139124,27.03679132878973
